Target value,Label value
5065,Afghanistan
5066,Albania
5067,Algeria
5068,Andorra
5069,Angola
5070,Antigua and Barbuda
5071,Argentina
5072,Armenia
5073,Australia
5074,Austria
5075,Azerbaijan
5076,"Bahamas, The"
5077,Bahrain
5078,Bangladesh
5079,Barbados
5080,Belarus
5081,Belgium
5082,Belize
5083,Benin
17388,Bermuda
5084,Bhutan
5085,Bolivia
5086,Bosnia and Herzegovina
5087,Botswana
5088,Brazil
5089,Brunei
5090,Bulgaria
5091,Burkina Faso
5092,Burma
5093,Burundi
5094,Cambodia
5095,Cameroon
5096,Canada
5097,Cape Verde
5098,Central African Republic
5099,Chad
5100,Chile
5101,China
5102,Colombia
5103,Comoros
5104,Congo (Brazzaville)
5105,Congo (Kinshasa)
5106,Costa Rica
5107,Cote d'Ivoire
5108,Croatia
5109,Cuba
5110,Cyprus
5111,Czech Republic
5112,Denmark
5113,Djibouti
5114,Dominica
5115,Dominican Republic
5116,East Timor (see Timor-Leste)
5117,Ecuador
5118,Egypt
5119,El Salvador
5120,Equatorial Guinea
5121,Eritrea
5122,Estonia
5123,Ethiopia
5124,Fiji
5125,Finland
5126,France
5127,Gabon
5128,"Gambia, The"
5129,Georgia
5130,Germany
5131,Ghana
5132,Greece
5133,Grenada
5134,Guatemala
5135,Guinea
5136,Guinea-Bissau
5137,Guyana
5138,Haiti
5139,Holy See
5140,Honduras
5141,Hong Kong
5142,Hungary
5143,Iceland
5144,India
5145,Indonesia
5146,Iran
5147,Iraq
5148,Ireland
5149,Israel
5150,Italy
5151,Jamaica
5152,Japan
5153,Jordan
5154,Kazakhstan
5155,Kenya
5156,Kiribati
5157,"Korea, North"
5158,"Korea, South"
5159,Kosovo
5160,Kuwait
5161,Kyrgyzstan
5162,Laos
5163,Latvia
5164,Lebanon
5165,Lesotho
5166,Liberia
5167,Libya
5168,Liechtenstein
5169,Lithuania
5170,Luxembourg
5171,Macau
5172,Macedonia
5173,Madagascar
5174,Malawi
5175,Malaysia
5176,Maldives
5177,Mali
5178,Malta
5179,Marshall Islands
5180,Mauritania
5181,Mauritius
5182,Mexico
5183,Micronesia
5184,Moldova
5185,Monaco
5186,Mongolia
5187,Montenegro
5188,Morocco
5189,Mozambique
5190,Namibia
5191,Nauru
5192,Nepal
5193,Netherlands
5194,Netherlands Antilles
5195,New Zealand
5196,Nicaragua
5197,Niger
5198,Nigeria
5199,North Korea
5200,Norway
5201,Oman
5202,Pakistan
5203,Palau
5204,Palestinian Territories
5205,Panama
5206,Papua New Guinea
5207,Paraguay
5208,Peru
5209,Philippines
5210,Poland
5211,Portugal
5212,Qatar
5213,Romania
5214,Russia
5215,Rwanda
5216,Saint Kitts and Nevis
5217,Saint Lucia
5218,Saint Vincent and the Grenadines
5219,Samoa
5220,San Marino
5221,Sao Tome and Principe
5222,Saudi Arabia
5223,Senegal
5224,Serbia
5225,Seychelles
5226,Sierra Leone
5227,Singapore
5228,Slovakia
5229,Slovenia
5230,Solomon Islands
5231,Somalia
5232,South Africa
5233,South Korea
5234,Spain
5235,Sri Lanka
5236,Sudan
5237,Suriname
5238,Swaziland
5239,Sweden
5240,Switzerland
5241,Syria
5242,Taiwan
5243,Tajikistan
5244,Tanzania
5245,Thailand
5246,Timor-Leste
5247,Togo
5248,Tonga
5249,Trinidad and Tobago
5250,Tunisia
5251,Turkey
5252,Turkmenistan
5253,Tuvalu
5254,Uganda
5255,Ukraine
5256,United Arab Emirates
5257,United Kingdom
5258,United States
5259,Uruguay
5260,Uzbekistan
5261,Vanuatu
5262,Venezuela
5263,Vietnam
5264,Yemen
5265,Zambia
5266,Zimbabwe
